# Irregular inflections — the forms no suffix rule can reach.  GENERATED; do
# not hand-edit.
#
# Regenerate:
#   ./crates/verb-synonyms-gen/fetch-sources.sh /tmp/verbsyn
#   cargo run -p verb-synonyms-gen -- irregulars \
#       --wordnet /tmp/verbsyn/WordNet-3.0/dict \
#       -o crates/verb-synonyms/src/irregular_forms.tsv
#
# SOURCE: WordNet 3.0 (Princeton University, 2006) — `verb.exc` and `noun.exc`
# out of WordNet-3.0.tar.gz, sha256 640db279…d3a52.  The notice Princeton's
# licence requires is in THIRD-PARTY-NOTICES.md at the repository root.  The
# DB-only WNdb-3.0.tar.gz carries neither file, which is why fetch-sources.sh
# takes the full tarball.
#
# FORMAT: one `form<TAB>base` per line.  A form appears on SEVERAL lines when
# WordNet gives it more than one base — `axes` is `ax` and `axis`, `singing` is
# `sing` and `singe`, `overflown` is `overflow` and `overfly` — which is why the
# reader hands back a slice and lets the story's own dictionary choose.
#
# SORTED, and unlike synonym_groups.tsv that is safe: nothing here depends on
# line order.  A form's bases are alternative readings of one spelling with no
# ranking between them available or wanted, so the file is sorted to be
# greppable and to diff cleanly across a regeneration.
#
# VERBS AND NOUNS BOTH.  `lit` → `light` is the motivating case, but the
# consumer (`vocab::stems` in `app`) is asked about every position in a command,
# so `mice` → `mouse` is the same case one slot to the right.  A pair that both
# lists give is written once.
#
# 2417 verb rows, 2107 noun rows, 4520 lines, 4424 distinct forms.
aardwolves	aardwolf
abaci	abacus
abetted	abet
abetting	abet
abhorred	abhor
abhorring	abhor
abode	abide
aboideaux	aboideau
aboiteaux	aboiteau
abought	aby
about-shipped	about-ship
about-shipping	about-ship
abscissae	abscissa
abutted	abut
abutting	abut
abye	aby
acanthi	acanthus
acari	acarus
acciaccature	acciaccatura
accompanied	accompany
acetabula	acetabulum
acetified	acetify
achaemenidae	achaemenid
achaemenides	achaemenid
acicula	aciculum
aciculae	acicula
acidified	acidify
acini	acinus
acquitted	acquit
acquitting	acquit
acre-feet	acre-foot
acromia	acromion
actiniae	actinia
actinozoa	actinozoan
ad-libbed	ad-lib
ad-libbing	ad-lib
addenda	addendum
addrest	address
adenocarcinomata	adenocarcinoma
adenomata	adenoma
adieux	adieu
admitted	admit
admitting	admit
adyta	adytum
aecia	aecium
aecidia	aecidium
aerified	aerify
aerobia	aerobium
agents-general	agent-general
aggiornamenti	aggiornamento
agnomina	agnomen
agones	agon
agorae	agora
agouties	agouti
aides-de-camp	aide-de-camp
aides-memoire	aide-memoire
aids-de-camp	aid-de-camp
air-dried	air-dry
airdropped	airdrop
airdropping	airdrop
alae	ala
alewives	alewife
alkalies	alkali
alkalified	alkalify
allied	ally
allodia	allodium
allotted	allot
allotting	allot
allowed for	allow for
allowing for	allow for
allows for	allow for
alluvia	alluvium
alodia	alodium
alto-relievos	alto-relievo
alto-relievos	alto-rilievo
altocumuli	altocumulus
altostrati	altostratus
alulae	alula
alumnae	alumna
alumni	alumnus
alveoli	alveolus
am	be
amanuenses	amanuensis
ambulacra	ambulacrum
amebae	ameba
amici curiae	amicus curiae
ammonified	ammonify
amnestied	amnesty
amnia	amnion
amniocenteses	amniocentesis
amoebae	amoeba
amoebiases	amoebiasis
amoraim	amora
amoretti	amoretto
amorini	amorino
amphiarthroses	amphiarthrosis
amphicia	amphithecium
amphimixes	amphimixis
amphioxi	amphioxus
amphisbaenae	amphisbaena
amphorae	amphora
amplified	amplify
ampullae	ampulla
amygdalae	amygdala
anabases	anabasis
anacolutha	anacoluthon
anacruses	anacrusis
anaerobia	anaerobium
anagnorises	anagnorisis
analemmata	analemma
analyses	analysis
anamneses	anamnesis
anamorphoses	anamorphosis
anastomoses	anastomosis
anatyxes	anaptyxis
ancones	ancon
ancones	ancone
androclinia	androclinium
androecia	androecium
androsphinges	androsphinx
andtheridia	antheridium
angelfishes	angelfish
angiomata	angioma
anglified	anglify
animalcula	animalculum
anlagen	anlage
annattos	anatto
annattos	annatto
annuli	annulus
annulled	annul
annulling	annul
antae	anta
antalkalies	antalkali
antefixa	antefix
antennae	antenna
antependia	antependium
anthelia	anthelion
anthelices	anthelix
anthemia	anthemion
antheridia	antheridium
anthodia	anthodium
anthozoa	anthozoan
anthraces	anthrax
anticlinoria	anticlinorium
antihelices	antihelix
antiheroes	antihero
antisera	antiserum
antitheses	antithesis
antitragi	antitragus
antra	antrum
aortae	aorta
aphelia	aphelion
aphides	aphis
apices	apex
apodoses	apodosis
apomixes	apomixis
aponeuroses	aponeurosis
apophyses	apophysis
aposiopeses	aposiopesis
apothecia	apothecium
apotheoses	apotheosis
appalled	appal
appalled	appall
appalling	appal
appalling	appall
appendices	appendix
applied	apply
appoggiature	appoggiatura
apsides	apsis
aquae	aqua
aquaria	aquarium
araglis	argali
arboreta	arboretum
arcana	arcanum
archegonia	archegonium
archerfishes	archerfish
archesporia	archesporium
archipelagoes	archipelago
arcked	arc
arcking	arc
arcs-boutants	arc-boutant
are	be
areolae	areola
argufied	argufy
argumenta	argumentum
ariette	arietta
arisen	arise
aristae	arista
armamentaria	armamentarium
arose	arise
arses	arsis
artal	rotl
artel	rotl
arterioscleroses	arteriosclerosis
aruspices	aruspex
asceses	ascesis
asci	ascus
ascidia	ascidium
ascogonia	ascogonium
ashes	ash
ashkenazim	ashkenazi
aspergilla	aspergillum
aspergilli	aspergillus
aspergilloses	aspergillosis
aspersoria	aspersorium
assegais	assagai
assegais	assegai
astragali	astragalus
asyndeta	asyndeton
ate	eat
atheromata	atheroma
atheroscleroses	atherosclerosis
atmolyses	atmolysis
atria	atrium
atrophied	atrophy
attorneys-at-law	attorney-at-law
auditoria	auditorium
aurae	aura
aurar	eyrir
aurei	aureus
auriculae	auricula
aurorae	aurora
auspices	auspex
auspices	auspice
autocatalyses	autocatalysis
autochthones	autochthon
automata	automaton
autos-da-fe	auto-da-fe
averred	aver
averring	aver
avitaminoses	avitaminosis
awoke	awake
awoken	awake
axes	ax
axes	axis
axillae	axilla
babied	baby
baby-sat	baby-sit
baby-sitting	baby-sit
bacchantes	bacchant
bacchantes	bacchante
bacchii	bacchius
bacilli	bacillus
back-pedalled	back-pedal
back-pedalling	back-pedal
backbit	backbite
backbitten	backbite
backslid	backslide
backslidden	backslide
